,portfolio_value,daily_return,daily_turnover
2022-09-08,92665.648533,-0.006845,
2022-09-09,90633.740049,-0.021927,
2022-09-12,89684.738795,-0.010471,
2022-09-13,95138.488773,0.06081,
2022-09-14,95203.421999,0.000683,
2022-09-15,96472.387549,0.013329,
2022-09-16,96490.766083,0.000191,
2022-09-19,95511.658138,-0.010147,
2022-09-20,96542.845506,0.010796,
2022-09-21,97607.302961,0.011026,
2022-09-22,98545.075213,0.009608,
2022-09-23,100060.69112,0.01538,
2022-09-26,101158.136546,0.010968,
2022-09-27,100848.670526,-0.003059,
2022-09-28,98046.845896,-0.027782,
2022-09-29,100645.135636,0.0265,
2022-09-30,101841.773458,0.01189,
2022-10-03,99075.93857,-0.027158,
2022-10-04,95754.169927,-0.033528,
2022-10-05,96163.787734,0.004278,
2022-10-06,96540.236039,0.003915,
2022-10-07,100503.82519,0.041056,
2022-10-10,100826.689218,0.003212,
2022-10-11,102734.045066,0.018917,
2022-10-12,102663.218648,-0.000689,
2022-10-13,100094.933528,-0.025017,
2022-10-14,104203.278721,0.041044,
2022-10-17,98833.432814,-0.051532,
2022-10-18,98213.386739,-0.006274,
2022-10-19,98241.528355,0.000287,
2022-10-20,100729.284314,0.025323,
2022-10-21,99542.716971,-0.01178,
2022-10-24,99977.088964,0.004364,
2022-10-25,97781.369145,-0.021962,
2022-10-26,97323.634,-0.004681,
2022-10-27,96378.110507,-0.009715,
2022-10-28,96493.820268,0.001201,
2022-10-31,97960.460969,0.015199,
2022-11-01,98102.490008,0.00145,
2022-11-02,99414.167238,0.01337,
2022-11-03,101034.412649,0.016298,
2022-11-04,100042.24238,-0.00982,
2022-11-07,98366.837547,-0.016747,
2022-11-08,98901.170088,0.005432,
2022-11-09,97585.076339,-0.013307,
2022-11-10,96783.978757,-0.008209,
2022-11-11,95911.033239,-0.00902,
2022-11-14,96048.829971,0.001437,
2022-11-15,96543.237824,0.005147,
2022-11-16,96042.865521,-0.005183,
2022-11-17,96228.300878,0.001931,
2022-11-18,96093.999341,-0.001396,
2022-11-21,96932.384683,0.008725,
2022-11-22,97751.300184,0.008448,
2022-11-23,96500.703545,-0.012794,
2022-11-25,96566.838054,0.000685,
